[Optimal LQR]  analytical cost-to-go : 2.466
----------------------------------------------------------------------
  H |     MPC reward |     IGO reward |     CEM reward |  premature (igo/cem)
----------------------------------------------------------------------
  1 |      -2.020e+26 |      -2.336e+26 |      -2.347e+26 |        0/200 , 0/200
  2 |        -15.876 |         -2.471 |         -2.580 |        0/200 , 1/200
  3 |        -50.118 |         -2.469 |         -2.563 |        0/200 , 1/200
  4 |        -87.913 |         -2.473 |         -2.582 |        0/200 , 1/200
  5 |       -145.643 |         -2.483 |         -2.559 |        0/200 , 1/200
  6 |       -166.688 |         -2.507 |         -2.653 |        0/200 , 1/200
  7 |       -234.232 |         -2.553 |         -2.718 |        0/200 , 1/200
  8 |       -325.558 |         -2.596 |         -2.740 |        0/200 , 1/200
  9 |       -378.057 |         -2.661 |         -2.765 |        0/200 , 1/200
 10 |       -408.697 |         -2.751 |         -2.885 |        0/200 , 2/200
 11 |       -455.724 |         -2.801 |         -2.902 |        0/200 , 1/200
 12 |       -561.197 |         -2.923 |         -3.132 |        0/200 , 4/200
 13 |       -537.112 |         -3.068 |         -3.329 |        0/200 , 4/200
 14 |       -678.641 |         -3.228 |         -3.473 |        0/200 , 7/200
 15 |       -722.628 |         -3.316 |         -3.769 |       0/200 , 13/200
 16 |       -773.889 |         -3.457 |         -3.919 |       0/200 , 13/200
 17 |       -871.651 |         -3.617 |         -4.323 |       0/200 , 18/200
 18 |       -941.854 |         -3.752 |         -4.618 |       0/200 , 38/200
 19 |       -915.099 |         -3.999 |         -5.332 |       0/200 , 39/200
 20 |      -1464.449 |         -4.217 |         -5.823 |       0/200 , 62/200
Saved 8000 rows to premature_check_CEM_and_IGO.csv

