planner,H,timestep,premature
igo,2,0,0
igo,2,1,0
igo,2,2,0
igo,2,3,0
igo,2,4,0
igo,2,5,0
igo,2,6,0
igo,2,7,0
igo,2,8,0
igo,2,9,0
igo,2,10,0
igo,2,11,0
igo,2,12,0
igo,2,13,0
igo,2,14,0
igo,2,15,0
igo,2,16,0
igo,2,17,0
igo,2,18,0
igo,2,19,0
igo,2,20,0
igo,2,21,0
igo,2,22,0
igo,2,23,0
igo,2,24,0
igo,2,25,0
igo,2,26,0
igo,2,27,0
igo,2,28,0
igo,2,29,0
igo,2,30,0
igo,2,31,0
igo,2,32,0
igo,2,33,0
igo,2,34,0
igo,2,35,0
igo,2,36,0
igo,2,37,0
igo,2,38,0
igo,2,39,0
igo,2,40,0
igo,2,41,0
igo,2,42,0
igo,2,43,0
igo,2,44,0
igo,2,45,0
igo,2,46,0
igo,2,47,0
igo,2,48,0
igo,2,49,0
igo,2,50,0
igo,2,51,0
igo,2,52,0
igo,2,53,0
igo,2,54,0
igo,2,55,0
igo,2,56,0
igo,2,57,0
igo,2,58,0
igo,2,59,0
igo,2,60,0
igo,2,61,0
igo,2,62,0
igo,2,63,0
igo,2,64,0
igo,2,65,0
igo,2,66,0
igo,2,67,0
igo,2,68,0
igo,2,69,0
igo,2,70,0
igo,2,71,0
igo,2,72,0
igo,2,73,0
igo,2,74,0
igo,2,75,0
igo,2,76,0
igo,2,77,0
igo,2,78,0
igo,2,79,0
igo,2,80,0
igo,2,81,0
igo,2,82,0
igo,2,83,0
igo,2,84,0
igo,2,85,0
igo,2,86,0
igo,2,87,0
igo,2,88,0
igo,2,89,0
igo,2,90,0
igo,2,91,0
igo,2,92,0
igo,2,93,0
igo,2,94,0
igo,2,95,0
igo,2,96,0
igo,2,97,0
igo,2,98,0
igo,2,99,0
igo,2,100,0
igo,2,101,0
igo,2,102,0
igo,2,103,0
igo,2,104,0
igo,2,105,0
igo,2,106,0
igo,2,107,0
igo,2,108,0
igo,2,109,0
igo,2,110,0
igo,2,111,0
igo,2,112,0
igo,2,113,0
igo,2,114,0
igo,2,115,0
igo,2,116,0
igo,2,117,0
igo,2,118,0
igo,2,119,0
igo,2,120,0
igo,2,121,0
igo,2,122,0
igo,2,123,0
igo,2,124,0
igo,2,125,0
igo,2,126,0
igo,2,127,0
igo,2,128,0
igo,2,129,0
igo,2,130,0
igo,2,131,0
igo,2,132,0
igo,2,133,0
igo,2,134,0
igo,2,135,0
igo,2,136,0
igo,2,137,0
igo,2,138,0
igo,2,139,0
igo,2,140,0
igo,2,141,0
igo,2,142,0
igo,2,143,0
igo,2,144,0
igo,2,145,0
igo,2,146,0
igo,2,147,0
igo,2,148,0
igo,2,149,0
igo,2,150,0
igo,2,151,0
igo,2,152,0
igo,2,153,0
igo,2,154,0
igo,2,155,0
igo,2,156,0
igo,2,157,0
igo,2,158,0
igo,2,159,0
igo,2,160,0
igo,2,161,0
igo,2,162,0
igo,2,163,0
igo,2,164,0
igo,2,165,0
igo,2,166,0
igo,2,167,0
igo,2,168,0
igo,2,169,0
igo,2,170,0
igo,2,171,0
igo,2,172,0
igo,2,173,0
igo,2,174,0
igo,2,175,0
igo,2,176,0
igo,2,177,0
igo,2,178,0
igo,2,179,0
igo,2,180,0
igo,2,181,0
igo,2,182,0
igo,2,183,0
